Customer_ID,Customer_Name,City,Age_Group,Gender,Recency_Days,Frequency,Monetary,Avg_Order_Value,R_Score,F_Score,M_Score,RFM_Total,Customer_Segment
CUST1790,Customer_12,Hyderabad,36-45,Male,277,1,12225.22,12225.22,1,1,1,3,Lost
CUST8199,Customer_39,Gaya,56-65,Female,278,1,10864.96,10864.96,1,1,1,3,Lost
CUST9945,Customer_495,Hyderabad,18-25,Male,281,1,3375.35,3375.35,1,1,1,3,Lost
CUST8600,Customer_53,Hyderabad,36-45,Male,288,1,10884.12,10884.12,1,1,1,3,Lost
CUST5355,Customer_108,Delhi,18-25,Male,288,1,47542,47542,1,1,1,3,Lost
CUST1442,Customer_371,Pune,18-25,Female,292,1,27918.98,27918.98,1,1,1,3,Lost
CUST3473,Customer_20,Hyderabad,56-65,Male,292,1,18903.96,18903.96,1,1,1,3,Lost
CUST5375,Customer_265,Bengaluru,56-65,Male,297,1,36587.92,36587.92,1,1,1,3,Lost
CUST1049,Customer_243,Hyderabad,46-55,Female,299,1,16714.64,16714.64,1,1,1,3,Lost
CUST3747,Customer_322,Mumbai,46-55,Female,300,1,23973.18,23973.18,1,1,1,3,Lost
CUST1766,Customer_319,Kolkata,26-35,Male,303,1,7119.05,7119.05,1,1,1,3,Lost
CUST7285,Customer_493,Hyderabad,18-25,Female,303,1,9639.44,9639.44,1,1,1,3,Lost
CUST8759,Customer_20,Hyderabad,56-65,Female,308,1,22534.47,22534.47,1,1,1,3,Lost
CUST4284,Customer_270,Patna,46-55,Male,308,1,30640.69,30640.69,1,1,1,3,Lost
CUST4438,Customer_133,Kolkata,56-65,Female,316,1,29540.26,29540.26,1,1,1,3,Lost
CUST6706,Customer_215,Mumbai,46-55,Male,322,1,45333.96,45333.96,1,1,1,3,Lost
CUST3075,Customer_249,Bengaluru,46-55,Male,323,1,8162.84,8162.84,1,1,1,3,Lost
CUST3778,Customer_96,Bengaluru,36-45,Female,326,1,47848,47848,1,1,1,3,Lost
CUST2384,Customer_365,Gaya,46-55,Male,326,1,30394.74,30394.74,1,1,1,3,Lost
CUST1215,Customer_19,Gaya,26-35,Male,341,1,10367,10367,1,1,1,3,Lost
